黄瓜	30.0	2.17	65.0
香菜	7.0	5.86	41.0
豆腐丝	15.0	4.0	60.0
牛奶	4.0	3.5	14.0
鸡蛋	31.0	3.74	116.0
猪肉	28.0	16.0	448.0
豆腐	27.0	2.0	54.0
芹菜	21.0	2.0	42.0
花生米	16.0	7.0	112.0
丝瓜	3.0	2.0	6.0
菜花	28.0	2.18	61.0
土豆	81.0	1.23	100.0
藕	13.0	3.38	44.0
海带丝	4.0	20.0	80.0
小白菜	17.0	2.0	34.0
西红柿	41.0	2.24	92.0
青椒	28.0	2.25	63.0
甘蓝	15.0	1.47	22.0
洋葱	11.0	1.0	11.0
黄豆	10.0	3.0	30.0
豆皮	5.0	2.0	10.0
鲅鱼	2.0	15.0	30.0
蒜薹	5.0	3.0	15.0
大白菜	31.0	1.0	31.0
大料	1.0	20.0	20.0
白糖	5.0	5.0	25.0
银耳	1.0	45.0	45.0
胡萝卜	14.0	2.0	28.0
牛肉	9.0	27.0	243.0
西葫芦	10.0	2.0	20.0
豆角	33.0	2.85	94.0
木耳	3.0	46.67	140.0
鸡肉	14.0	10.0	140.0
冬瓜	40.0	0.8	32.0
粉条	7.0	5.14	36.0
鸡块	2.0	10.0	20.0
空心菜	4.0	2.0	8.0
拉皮	4.0	2.0	8.0
扒糕	1.0	4.0	4.0
脊椎骨	5.0	10.0	50.0
大蒜	8.0	2.0	16.0
姜	10.0	4.0	40.0
大葱	45.0	1.44	65.0
干辣椒	2.0	12.0	24.0
油菜	5.0	2.0	10.0
八宝米	10.0	4.0	40.0
绿甘蓝	45.0	1.0	45.0
绿豆芽	10.0	1.7	17.0
百合	1.0	30.0	30.0
金针菇	7.0	3.43	24.0
醋	10.0	2.0	20.0
酱油	10.0	2.0	20.0
盐	10.0	2.0	20.0
大枣	5.0	15.0	75.0
韭菜	8.0	2.0	16.0
菠菜	7.0	3.0	21.0
腐竹	2.0	20.0	40.0
北瓜	29.0	2.0	58.0
小米	5.0	5.0	25.0
羊肉	1.0	30.0	30.0
茄子	17.0	1.35	23.0
蒜	3.0	3.0	9.0
龙须菜	1.0	20.0	20.0
苦菊	4.0	2.0	8.0
茴香	4.0	3.0	12.0
长豆角	6.0	2.0	12.0
豆芽	4.0	2.0	8.0
面片	2.0	5.0	10.0
玉米碴	10.0	2.0	20.0
