,早,中,晚
0,黄瓜扒糕、洋葱香菜豆皮、炒白菜、黑米粥、鸡蛋、馒头,羊肉汤炖萝卜、醋溜白菜、绿豆大米粥、大米饭,麻辣鸡块、西葫芦炒鸡蛋、素炒甘蓝、小米粥、花卷
1,姜汁藕片、芹菜花生、豆浆、油条、牛奶、花卷,炸酱面、鱼香肉丝、大葱烧豆腐、花卷,木须肉、西红柿炒鸡蛋、花卷、小米粥、馒头
2,凉拌金针菇、洋葱香菜豆皮、醋溜豆芽、牛奶燕麦粥、煎饼,带鱼、家常白菜豆腐、香鲍菇木耳、绿豆大米粥、豆沙烧饼,香辣肉片、青椒木耳鸡蛋、北瓜小米粥、馒头
3,炒白菜、炒土豆丝、大拌菜、玉米碴粥、豆包,猪肉白菜包子、韭菜鸡蛋包子、鸡蛋汤,青椒土豆片、风味蒜苔炒肉、小米粥、馒头
4,番茄银耳、菜花木耳花生米豆腐脑、油条,土豆炖牛肉、黄瓜木耳鸡蛋、绿豆大米粥、花卷,菜花回锅肉、西葫芦鸡蛋、、小米粥、花卷
5,凉拌腐竹、炒冬瓜片、炒白菜、大米粥、馒头,甜辣鸡块、西红柿炒鸡蛋、黄瓜拉皮、面片汤、大米饭,豆角炒牛柳、土豆丝、北瓜小米粥
6,小葱拌豆腐、炒甘蓝、炒菜花、疙瘩汤、花卷,红烧肉、炒土豆丝、水煮肉片、玉米碴粥、大米饭,宫保鸡丁、炒甘蓝粉、小米北瓜粥、豆包
7,,,
8,早,中,晚
9,黄瓜扒糕、大葱香菜豆腐丝、炒白菜、黑米粥、馒头,酱大骨、豆角鸡蛋、小白菜粉条、炒油菜、烙饼,绿豆芽韭菜炒粉条、小米粥、花卷
10,芹菜花生、炒甘蓝、豆浆、油条,蛋炒饭、炸酱面、鱼香肉丝、花卷,木须肉、番茄甘蓝粉条、北瓜小米粥、馒头
11,凉拌金针菇、醋溜豆芽、百合红枣粥、花卷,大葱烧豆腐、豆角腊肉、香干芹菜、大米饭,香辣肉片、青椒木耳、小米粥、馒头
12,炒甘蓝、炒土豆丝、皮蛋瘦肉粥、煎饼,韭菜鸡蛋包子、牛肉胡萝卜包子、菠菜粉丝、大米粥,风味炒肉、青椒土豆片、北瓜小米粥、花卷
13,菜花木耳花生米、炒甘蓝、豆腐脑、馒头,土豆炖牛肉、牛肉罩饼、青椒木耳鸡蛋、香辣海带丝、大米饭,青椒鸡蛋、蒜薹炒鸡蛋、小米粥、馒头
14,凉拌腐竹、炒冬瓜片、红枣粥、花卷,麻辣鸡块、西红柿鸡蛋、面片汤、馒头,豆角炒牛柳、土豆丝、北瓜小米粥、馒头
15,黄瓜花生米、椒油甘蓝、疙瘩汤、馒头,红烧肉、豆角鸡蛋、炒土豆丝、玉米碴粥、大米饭,宫保鸡丁、炒甘蓝、小米粥、花卷
16,,,
17,,,
18,早,中,晚
19,大葱香菜豆腐丝、炒菜花、黑米粥、馒头、鸡蛋,孜然羊肉、菠菜粉条鸡蛋、炒油菜、烙饼,青椒土豆片、麻辣鸡块小米粥、花卷
20,姜汁藕片、炒甘蓝、豆浆、油条,茄泥、西红柿鸡蛋面、豆角腊肉、花卷,木须肉、番茄甘蓝粉条、北瓜小米粥、馒头
21,凉拌金针菇、醋溜豆芽、百合红枣粥、花卷,苦菊海带丝、豆角腊肉、茄泥、大米饭,香辣肉片、木耳鸡蛋、小米粥、馒头
22,炒白菜、炒土豆丝、皮蛋瘦肉粥、煎饼,茴香鸡蛋包子、猪肉大葱包子、鸡蛋汤,风味炒肉、青椒土豆片、北瓜小米粥、花卷
23,炒黄豆芽、炒甘蓝、豆腐脑、馒头、鸡蛋,土豆炖牛肉、大锅菜、香辣海带丝、大米饭,青椒鸡蛋、炒长豆角、小米粥、馒头
24,凉拌腐竹、炒冬瓜片、炒甘蓝、红枣粥、花卷,麻辣鸡块、茄泥、面片汤、馒头,豆角炒牛柳、土豆丝、北瓜小米粥、馒头
25,小葱拌豆腐、炒甘蓝、疙瘩汤、馒头,茄泥、炒土豆丝、玉米碴粥、大米饭,宫保鸡丁、炒甘蓝、小米粥、花卷
26,,,
27,,,
28,,,
29,,,
30,早,中,晚
31,大葱香菜豆腐丝、炒甘蓝、牛奶燕麦粥、馒头、鸭蛋,大脊骨、凉拌秋葵、茄泥、炒油菜、烙饼,炒土豆丝、麻辣鸡块、小米粥、花卷
32,芹菜花生米、青椒炒鸡蛋、豆浆、油条,蛋炒饭、西红柿鸡蛋面、鱼香肉丝、花卷,青椒木耳、木须肉、北瓜小米粥、馒头
33,凉拌金针菇、醋溜豆芽、百合红枣粥、花卷,炒油麦、羊肉丸子萝卜丝汤、苦菊龙须海带丝、豆沙烧饼,蒜薹炒肉、青椒鸡蛋、小米粥、馒头
34,炒白菜、炒土豆丝、皮蛋瘦肉粥、煎饼,猪肉大葱包、茴香鸡蛋包、紫菜鸡蛋汤,醋溜白菜、青椒土豆片、北瓜小米粥、花卷
