八宝米	10.0	4.0	40.0
扒糕	1.0	4.0	4.0
白糖	5.0	5.0	25.0
百合	1.0	30.0	30.0
北瓜	29.0	2.0	58.0
菠菜	7.0	3.0	21.0
菜花	23.0	2.217391304347826	51.0
醋	10.0	2.0	20.0
大白菜	44.0	1.0	44.0
大葱	45.0	1.4444444444444444	65.0
大料	1.0	20.0	20.0
大蒜	8.0	2.0	16.0
大枣	5.0	15.0	75.0
冬瓜	30.0	0.8	24.0
豆腐	29.0	2.0	58.0
豆腐丝	10.0	4.0	40.0
豆角	35.0	2.857142857142857	100.0
豆芽	4.0	2.0	8.0
粉条	5.0	4.8	24.0
腐竹	3.0	20.0	60.0
干辣椒	2.0	12.0	24.0
海带丝	3.0	20.0	60.0
胡萝卜	13.0	2.0	26.0
花椒	1.0	60.0	60.0
花生米	13.0	7.0	91.0
黄豆	5.0	3.0	15.0
黄瓜	24.0	2.2083333333333335	53.0
茴香	4.0	3.0	12.0
鸡蛋	42.0	3.738095238095238	157.0
鸡块	4.0	10.0	40.0
鸡肉	8.0	10.0	80.0
脊椎骨	5.0	10.0	50.0
姜	10.0	4.0	40.0
酱油	10.0	2.0	20.0
金针菇	9.0	3.3333333333333335	30.0
韭菜	10.0	2.0	20.0
苦菊	4.0	2.0	8.0
拉皮	4.0	2.0	8.0
龙须菜	1.0	20.0	20.0
绿豆芽	14.0	1.6428571428571428	23.0
绿甘蓝	62.0	1.0161290322580645	63.0
面片	2.0	5.0	10.0
木耳	3.0	50.0	150.0
牛奶	4.0	3.5	14.0
牛肉	10.0	27.0	270.0
藕	9.0	3.5555555555555554	32.0
茄子	17.0	1.3529411764705883	23.0
芹菜	16.0	2.0	32.0
青椒	22.0	2.3181818181818183	51.0
蒜	3.0	3.0	9.0
土豆	87.0	1.1954022988505748	104.0
西红柿	49.0	2.204081632653061	108.0
西葫芦	5.0	2.0	10.0
香菜	5.0	5.8	29.0
小白菜	8.0	2.0	16.0
小米	15.0	5.0	75.0
盐	10.0	2.0	20.0
羊肉	2.5	30.0	75.0
洋葱	16.0	1.0	16.0
银耳	1.0	45.0	45.0
油菜	5.0	2.0	10.0
玉米碴	10.0	2.0	20.0
长豆角	6.0	2.0	12.0
猪肉	27.0	16.0	432.0
紫甘蓝	2.0	2.0	4.0
